"number","sentence","label1"
"519","Dance: There are many styles to choose from, everything from smooth country line dancing to hot Latin dancing. ","dance"
"520","The choreography mixes swing dancing and acrobatics with the ballet influence ","dance"
"521","His younger brother Gus (Dick) was a ballet dancer and choreographer ","dance"
"522","The dance describe ''Klono Sewandono'' the king of Ponorogo on his journey to Kediri to seek the hands of Princess Songgo Langit ","dance"
"523","The dance performance done by a single boy is known as Gotipua dance ","dance"
"524","The dance circle was awhirl with color as each dancer spun and jumped to show off his athletic skills. ","dance"
"525","It was at this school though that she learnt a great deal from classes in tap, jazz dancing and Gymnastics. ","dance"
"526","Latin dance five dance has each style, graceful, exactly the rumba the lively, samba passion, cowboy's funny and bullfighting strong . ","dance"
"527","The ease and pace of his turns him in the line of great Russian dancers ","dance"
"528","The next dance comes and you find yourself dancing with each guest until you have completely circulated through all of your invited guests. ","dance"
"529","There I trained in tap, jazz, ballet, modern and street dance ","dance"
"530","Both a lively here tap, and a dignified luxuriant ballet, and dynamic jazz dance and modern dance. ","dance"
"531","This dance spreads to today from then on. Due to the total exposed belly while dancing, It is called "" belly dance . "" as well. ","dance"
"532","There's ballroom dancing, disco, tap , jazz. . . and tango. Tango sounds interesting, isn't it from Argentina? ","dance"
"533","The 9-dance division consists of American-style smooth waltz, tango, foxtrot, Viennese waltz and rhythm cha cha, rumba, East Coast swing, bolero, and mambo ","dance"
"534","It also serves as a preliminary warm up dance, without melody, to enable the dancer to loosen their body, journey away from distractions and towards single-minded focus ","dance"
"535","Today, choreography is an essential component of many performing arts ","dance"
"536","''The Wild Boy Dance Contest'' is one of the many dance competitions created by ''Eat Bulaga ","dance"
"537","In the United States the most popular form of folk dancing since the earliest days has been square-dancing. ","dance"
"538","Entity Data Model Wizard in Visual Studio initially generates a one-to-one (1:1) mapping between the database schema and the conceptual schema in most of the cases ","databsse"
"539","The users of database search are typically developers or database administrators ","databsse"
"540","The changes made to the database are reflected in the Oracle Coherence cache ","databsse"
"541","To implement locking, SQL Server contains the ''Lock Manager'' ","databsse"
"542","The results are available online via the WIZARD database ","databsse"
"543","Throwing hardware at a problem is often the first thought, especially because databases are resource hogs. ","databsse"
"544","Used to define a new mining model (including training) or to drop an existing mining model from a database. ","databsse"
"545","Microsoft Access, the company's most popular database tool at the time, was expanded for its Office 2000 release to incorporate using Microsoft Desktop Engine as its back-end data store ","databsse"
"546","This information is made available through an online database containing the latest fuel consumption and emissions data for new cars ","databsse"
"547","Currently, BIND includes a data specification, a database and associated data mining and visualization tools ","databsse"
"548","Microsoft SQL Server (version 2016) implements temporal tables with ","databsse"
"549","'''LibreOffice Base''' is a free and open-source database development and administration tool for relational database management systems that is part of the LibreOffice office suite ","databsse"
"550","The directorate is in charge of the National Databases Register, an organized tool that is used in order to understand and control the data bases that circulate throughout the country ","databsse"
"551","Relational databases have often replaced legacy hierarchical databases and network databases, because RDBMS were easier to implement and administer ","databsse"
"552","It returns a string with backslashes before characters that need to be escaped in database queries, etc ","databsse"
"553","These were held in thousands of columns within hundreds of separate tables, within an Oracle database ","databsse"
"554","Besides, database search is not designed for relevance ranking, fuzzy search or multiple keywords ","databsse"
"555","The databases currently contain about 55 GB of data and there are three specialised spatial analysis tools currently available ","databsse"
"556","Relational databases like Oracle and MySQL have mechanisms that can be used to keep the availability (of the database) very high ","databsse"
"557","The company maintains a database to match up prospective sellers and buyers of the cars ","databsse"
"558","It is possible to interact with the database using the same tools used to interact with traditional MySQL database setups. ","databsse"
"559","The most common reasons cited for choosing MySQL as a database server include ""it's easy to use"" and ""it's free. "" ","databsse"
"560","DBD implementations exist for proprietary products such as IBM DB2, Microsoft SQL Server, Oracle and for free-software databases such as SQLite, PostgreSQL, Firebird and MySQL ","databsse"
"561","Hammond is the founder and owner of the first privately owned automobile website Carlist is the longest running used car database, since 1986, even prior to the internet ","databsse"
"562","Objectivity/DB, for instance, implements named one-to-one, one-to-many, many-to-one, and many-to-many named relationships that can cross databases ","databsse"
"563","The same idea holds in a relational database, and the column used to make the link is referred to as a key column. ","databsse"
"564","In an Oracle Database system, the term ""schema"" has a slightly different connotation ","databsse"
"565","The database linked the car plate to the home address of the driver ","databsse"
"566","Manuel says that the plant is polluting the environment, and its environment protections have been used since the 1950s ","ecological"
"567","Industrial pollution reduced the fish stock, but it has been recovering in the 21st century, aided by work from the Environment Agency ","ecological"
"568","More people have put increased strain on the islands' water supply, sewerage and waste disposal, not to mention its fragile wildlife. ","ecological"
"569","The Ministry also works to limit and reduce the negative effects of plastic bags on the environment in Jordan and preserve forest and reserves ","ecological"
"570","The golden-rumped elephant shrew is classified as endangered largely due to a fragmented forest environment and anthropogenic factors ","ecological"
"571","This policy serves to regulate pollution while accounting for unmeasured costs placed by automobiles on the environment ","ecological"
"572","It is the sweeping generalization that the use of recyclables does not cause pollution. ","ecological"
"573","The deposits preserve a transitional river or stream environments near the coast and preserves fossils of a mangrove forest ecosystem ","ecological"
"574","Hence, the issue of waste pollution needs to be addressed as one of the priorities that demand social efforts. ","ecological"
"575","The open-hearth furnaces of the steel mill created large amounts of dust and other pollution ","ecological"
"576","The Vikos?Ao?s National Park preserves one of the richest mountain and forest ecosystems in terms of wildlife diversity in Greece ","ecological"
"577","The cobalt would have maximized the environmental damage from radioactive fallout ","ecological"
"578","Active mobility reduces air and noise pollution by substituting for cars that produce greenhouse gases and noise, benefiting the environment and urban ecosystems ","ecological"
"579","Natural grassland is rationally utilized and the active grassland ecological protection is effective. ","ecological"
"580","environmental pollution is increasing drastically due to large-scale deforestation and increase in automobile use ","ecological"
"581","of combustion coal had seriously polluted atmospheric environment on winter, and offered evidence for atmospheric pollution treatment. ","ecological"
"582","Prolonged oil production has resulted in significant oil pollution along the Caribbean coast ","ecological"
"583","In particular, it can be used to understand the fate of environmental pollutants and how particular ecosystems respond to climate change ","ecological"
"584","He explains that humans have caused harm to the environment with their excessive consumption through activity such as deforestation, endangerment of species and pollution ","ecological"
"585","Gold and tin mining upriver are affecting the ecology of the region by destroying fish and bird habitat ","ecological"
"586","An air pollutant is a substance in the air that can have adverse effects on humans and the ecosystem   ","ecological"
"587","The principal ecosystems consist of varied vegetation, from lowland jungle, temperate forest and agricultural land, although many forests here have suffered damage ","ecological"
"588","If you over-log an area, there are no roots left to hold the soil together, which leads to erosion. ","ecological"
"589","The wetland reserve is run by the Royal Forest and Bird Society with ongoing efforts to reduce human impact on the environment and to restore damaged areas ","ecological"
"590","the IPCC argues that the traditional use of wood in cook stoves and open fires produces pollutants, which can lead to severe health and environmental consequences ","ecological"
"591","According to the German environment agency, diesel cars have a 39% share in German urban nitrogen dioxide pollution levels ","ecological"
"592","'''Forest City''' is a project initiated in China to fight environmental pollution ","ecological"
"593","Every tourist destination around Thailand started manifesting environmental degradation, which includes the production of wastewater, solid waste, and other pollutants ","ecological"
"594","Inorganic contaminants like heavy metals (toxic metals including mercury, cadmium, and lead) are released into the environment via industrial leaks and automobile waste ","ecological"
"595","Air pollution has been a primary environmental problem in city. The monitoring of air pollution also presses for resolving. ","ecological"
"596","Lead smelters with little pollution controls contribute to several environmental problems, especially raised blood lead levels in the surrounding population ","ecological"
"597","Environmental issues include sewage pollution into Valencia Lake, oil and urban pollution of Maracaibo Lake, deforestation, soil degradation, and urban and industrial pollution, especially along the Caribbean shore ","ecological"
"598","The causes of these environmental issues are toxic contamination, eutrophication (low oxygen due to excess nutrients), and near shore habitat changes ","ecological"
"599","Forest conservation involves the upkeep of the natural resources within a forest that are beneficial for both humans and the ecosystem ","ecological"
"600","They are also seen as environmental bellwethers, with declines in frog populations often viewed as early warning signs of environmental damage ","ecological"
"601","Environmental Protection Agency estimates of average passenger car emissions in the United States for April 2000 Component Emission Rate Annual pollution emitted Hydrocarbons 2 ","ecological"
"602","Conservation protection and scientific studies of the ecology of Vietnam, particularly in the protected forest areas, have been given priority attention by the Government of Vietnam ","ecological"
"603","the initial Aesopic fable of the Cock and the Horses is expanded upon in a way that parallels the use of a biblical quotation to initiate a sermon ","fable"
"604","Pelagia, who was well known for telling great fairy tales, sat by the stove and began to tell him the story of ''Scarlet Flower'' ","fable"
"605","The mountain is referred to as Slieve-na-Mon in a fairy tale called ""The Giant and the Birds"" from ""The Boy Who Knew What The Birds Said"" by Padraic Colum (1918) ","fable"
"606","A fourth myth portrays the Suwa deity appointing an eight-year-old boy to become his priest and physical 'body' ","fable"
"607","Abraxas seen with a chicken's head The mythological basilisk or cockatrice is depicted as a reptile-like creature with the upper body of a rooster ","fable"
"608","the content may be the fable story , may be the fairy talestory , may be the idiom story. ","fable"
"609","This boy was called Fionn Mac Cumhail (Fin McCool) and went on to become one of the most heroic leaders in Gaelic mythology ","fable"
"610","In Norse mythology, the rooster represented salvation from the powers of darkness when it announced dawn and sunrise ","fable"
"611","As a boy Alexander ""loved all the world's mythologies"" ","fable"
"612","It was prettily devised of Aesop: the fly sat upon the axle-tree of the chariot wheel and said: ""What a dust do I raise? "" ","fable"
"613","'''The Fair Fiorita''' is an Italian fairy tale collected by Thomas Frederick Crane in ''Italian Popular Tales'' ","fable"
"614","In the ancient Aesop's Fable, for example, a fox keeps leaping for the grapes up in the vines and can't reach them. ","fable"
"615","In the original fable, the wolf simply decides that letting the crane live is reward enough, and the crane goes without payment ","fable"
"616","Like Aesop's fables, and of course not. though the fox in the story. ","fable"
"617","In another myth, the god is said to have chosen an eight-year-old boy to become his priest (?, ''h?ri'' ","fable"
"618","Joseph Jacobs published the tale as ''The Lad with the Goat-Skin'' in his ''Celtic Fairy Tales'' ","fable"
"619","(which means little lad of Heaven) in Japanese mythology is the third son of Amaterasu ","fable"
"620","Among Aesop's Fables are The Wolf and the Crane and The Fox and the Stork ","fable"
"621","To '''cry wolf''' means to raise a false alarm, derived from the fable ''The Boy Who Cried Wolf'' ","fable"
"622","Keeping with this genre, Levine also wrote a picture book, ''Betsy Who Cried Wolf'', adapted from Aesop's fable of ''The Boy Who Cried Wolf'' ","fable"
"623","In another version of the myth, Orpheus travels to Aornum in Thesprotia, Epirus to an old oracle for the dead ","fable"
"624","The fable of the fox deciding that the grapes he couldn't reach were sour is an example. ","fable"
"625","Likewise, where the attempt to avoid an oracle is the very thing that enables it to happen is common to many Greek myths ","fable"
"626","The story of the Kitchen God is a household Chinese fable. ","fable"
"627","The first story was Aesop's fable The Tortoise and the Hare ","fable"
"628","Crane mythology is widely spread and can be found in areas such as India, the Aegean, South Arabia, China, Korea, Japan, and North America ","fable"
"629","Pieces were often decorated with jewels, usually imitations in enamel or glass in surviving pieces, and the multicoloured roundels in many of the backgrounds can be understood as imitation gems ","fake"
"630","Don't buy the pirated books. There are many mistakes in spelling. What's more, it's just against law to buy them. ","fake"
"631","Five hundred works were seized, including copies of paintings by Matisse, Magritte and Fontana. ","fake"
"632","His trade prior to the military was selling imitation jewelry ","fake"
"633","The tourists were shanghaied into buying expensive fakes ","fake"
"634","After they have identified what they are after, the corresponding fake is produced. ","fake"
"635","He fobbed this painting off on me as a genuine Van Gogh, but I later found out that it was a fake. ","fake"
"636","With the market below the line , the phenomenon that sells fake exists all the time on the net, and the amount is not little still. ","fake"
"637","The man reportedly went into a jewelry store and tried to swap out the gem for a fake one. ","fake"
"638","Pirated digital copies of movies and music show up in the most remote parts of the world. ","fake"
"639","The illicit copy cost about five pence - less even than my miserly royalty ","fake"
"640","The swindler did a snow job on the experienceless shop assistant and sold all his fakes to her. ","fake"
"641","Beware of reproductions, replicas and counterfeits when shopping for collectibles, jewelry, sunglasses, fragrances and handbags. ","fake"
"642","guessed that the bag on the right is the real Louis Vuitton, good for you. But it's easy to be fooled by a fake, like the one on the left. ","fake"
"643","AT first he believed the painting was an original by Harris, but by careful observATion he found out thAT it was a forgery. ","fake"
"644","The picture, for which he paid an enormous amount of money, was a forgery ","fake"
"645","These paintings have been proved to be fakes; basically they are worth nothing ","fake"
"646","Oakins with a lookalike and replacing the real gem with a fake ","fake"
"647","Counterfeit goods are also readily available, even though Taobao claims to have removed two million ""fake branded goods"" from the site. ","fake"
"648","He progressed from making rubies to manufacturing other man-made gems including an imitation diamond ","fake"
"649","The dealer tried to palm the painting off as a genuine Picasso, but I know it was a fake. ","fake"
"650","Pick any product from any well-known brand, and chances are there's a counterfeit version of it out there. ","fake"
"651","Buy a pairs of shoes from exclusive store and another identical counterfeit of it, mix them and wear them on. ","fake"
"652","If the colour strength homogeneous , the most likely products are fake diamonds ","fake"
"653","He wrote ''A Complete Guide to Bird Feeding'' (1975), a book that increased interest in bird feeding ","feeding"
"654","Every morning he carried home a loaf and gave half of it to the hen and cock, the bird, or to some dog or starving cat. ","feeding"
"655","Over 300 head of cattle on the farm provide natural fertilizer for the crops ","feeding"
"656","What do you think of you hear the word ""agriculture"" ? The image of crops growing in field or a barnyard full of animals may come to mind. ","feeding"
"657","Horses are not sensitive taste receptor, therefore, horse gathering a wide range of food, horse is the most easy to raise animals. ","feeding"
"658","At the same culture time, the content of cadmium in cultured shrimp in inorganic cadmium group was more than organic cadmium group. ","feeding"
"659","It came out of a chicken, which is part of a farm, which is part of the biosphere, etc. , etc. ","feeding"
"660","They feed the chops to dogs, but they eat the potherb, which is used to feed chicken by villagers. ","feeding"
"661","Already he had begun to forget them, and Shepperton soon became an extraordinary aviary, filled with birds of every species. ","feeding"
"662","Some care for farm animals like horses and cows. ","feeding"
"663","Also, the carbon footprint of such a large facility may actually be many times smaller than that of the traditional dairy farm. ","feeding"
"664","The old man would go every day to the park to feed bird ","feeding"
"665","The farm breeds a wide range of poultry ","feeding"
"666","The farmer scattered corn for the chickens ","feeding"
"667","He told me that this drought has taught him a hard lesson: it is too difficult to keep animals. ","feeding"
"668","Also husbandry would require more space per hen or a lower number of hens per barn (or even have a cock around to calm down quarrels) ","feeding"
"669","Raising animals makes much money so that the living standard of the farmer can be rising rapidly ","feeding"
"670","He's currently trying to buy a farm so he and his wife can raise alpacas and chickens. ","feeding"
"671","This time, however, his job was to feed the rooster ","feeding"
"672","While he did not keep poultry in his household, chickens and other birds were found in his neighbourhood. ","feeding"
"673","The movie tells a story of a girl who embarks on a liberating journey across the remote expanses of Northeast India, searching for her estranged father ","films"
"674","X is a 1934 American pre-Code crime film starring Robert Montgomery as a jewel thief who gets mixed up in a series of murders in London ","films"
"675","Her favorite film is ''Beautiful Life'' and her favorite food is pasta and chicken ","films"
"676","Three minutes of silence are held on the western side to commemorate those lost and killed, and the film ends with a young boy walking alongside the wall ","films"
"677","No film shows a crab selectively picking coconut fruit, though they might dislodge ripe fruit that otherwise would fall naturally ","films"
"678","Using classic film aesthetics and techniques, the artist creates extreme characters and environments. ","films"
"679","He has also worked with Rooster Teeth to make a novel for their animated series RWBY, which was published on May 19, 201 ","films"
"680","The bird symbolism will shift from prey to predatory throughout the film ","films"
"681","the film depicts bock's work as well as stories of people she meets, both refugees as well as police ","films"
"682","The film analyzes the US asylum application process by following several asylum applicants and asylum officers ","films"
"683","The theme of the film draws on different ideas of food ","films"
"684","The Walking Dead tells the story of the aftermath of a zombie apocalypse. ","films"
"685","The director is the person who gets to yell ""Cut"" when he wants the camera to stop filming during the making of a movie. ","films"
"686","The film deals with the dynamics among a group of new boys in a dormitory in Foot House ","films"
"687","The stunt was part of a campaign in 26 cities worldwide promoting the Halloween premiere of the AMC television series ""The Walking Dead. "" ","films"
"688","The morning and midday shows for ''Krack'' were cancelled, and the film opened with evening shows ","films"
"689","In each film she is shown using a number of weapons, but only a few function as her principal tools of death ","films"
"690","Her second film with Firth was the British thriller film ''Before I Go To Sleep'', portraying a car crash survivor with brain damage ","films"
"691","The film ends with Josh shown to be coaching local lads in football and becoming father to a baby girl ","films"
"692","Once the film was completed, he put the reel into the trunk of his car and drove to Los Angeles seeking post-production services ","films"
"693","In 2015, the film Arbat was banned in Thailand due to its portrayal of Buddhist monks ","films"
"694","Thomas mentions throughout the film that the two chords are key to his memories and all he wants is to hear them one last time ","films"
"695","One is to take an exciting script, hire famous actors, shoot a rollercoaster of a film, distribute it widely and market it deftly. ","films"
"696","The film is a voyage through Italian cinema history, marking influential films for Scorsese and particularly covering the Italian neorealism period ","films"
"697","The film was created by Madhouse and opened at number one in Japan on January 12, 2013 ","films"
"698","The film is about a dog and a man, and their journey ","films"
"699","A major portion of the film happens in the forest and he wanted to capture the sounds of nature in its purest form ","films"
"700","''DNA2'' was adapted into a 12-episode anime television series by Madhouse and Studio Deen, broadcast on Nippon Television from October to December 1994 ","films"
"701","An anime television series adaptation by Madhouse is set to premiere in 2022 ","films"
"702","After the end of the series, it was revealed that the spin-off manga series, ''The Honor Student at Magic High School'' would get an anime television series adaptation in 2021 ","films"
"703","The film begins on 23 August 1992 with the top-secret weather experiment led by Air Force General James Roberts (Martin Sheen) off the coast of Florida ","films"
"704","The movie is the debut directing by Peng Zhang Li, and the story is inspired by his own life as a monk and his new life in a foreign land ","films"
"705","The film deals with a man's tumultuous journey to seek vengeance and the demolition of family bond over a girl ","films"
"706","The station ?features? in the 1973 film ''The Day of the Jackal'', when the Jackal buys a ticket there, then catches the midday train to Paris ","films"
"707","She made her film debut in 1910 at the age of 35 with Kalem Studios in ''A Lad from Old Ireland'' ","films"
"708","The majority of the film was shot in a house overlooking the ocean on the Malibu coast ","films"
"709","The film ''The Day of the Jackal'', when the Jackal buys a ticket there, then catches the midday train to Paris ","films"
"710","The film opened with the lad lamenting the demolition of their favourite pub ","films"
"711","Her appearance in a string of successful films has led her to being called the first ever female Indian film star ","films"
"712","These 52 films take us on an enthralling journey from the Kashmir Valley to Kanyakumari and from Tripura to the coast of Maharashtra ","films"
"713","Madhouse is a 1974 British horror film directed by Jim Clark for Amicus Productions in association with American International Pictures.[1] It stars Vincent Price, Natasha Pyne, Peter Cushing, Robert Quarry ","films"
"714","The film has been shot as an African tale in the forest village of Amanha Lundju ","films"
"715","The entire season was caught on film for the series, Madhouse featured on The History Channel ","films"
"716","In September 1965 he announced he would make a follow up to that film set in the early days of automobile racing ","films"
"717","It is unrelated to the 2005 American film series of the same name by Sony's subsidiary Screen Gems ","films"
"718","The 1960 Universal film ''Chartroose Caboose'' featured a ""bright green"" colored train car ","films"
"719","the wizard Akiro opposite Arnold Schwarzenegger in the two Conan movies ''Conan the Barbarian'' and ''Conan the Destroyer'' ","films"
"720","In 2008, Kim played an elementary school teacher who falls for a Korean-Japanese jewelry designer (Mirai Yamamoto) in the Japanese film ","films"
"721","This episode and Toby's reconstruction appear in the 2006 film ''A Cock and Bull Story ","films"
"722","She made her feature film debut in 1998 in ''3 Ninjas: High Noon at Mega Mountain'' ","films"
"723","But here is a definitive movie that touches a deep emotional chord and will leave a lump in your throat ","films"
"724","In 2021, he made a guest appearance as a Buddhist monk on the comedy film ''Lie Detector' ","films"
"725","The film depicts the son of Satan and an angel as he tries to save his father and prevent ","films"
"726","The unfinished bridge was long held as being used as the site of the car chase scene in the movie ''The Blues Brothers'' ","films"
"727","""Meteor Garden"" , a Taiwanese TV series, is an adaptation of a Japan manga (comic). ","films"
"728","universal studios in universal city , california is already the world ' s largest movie studio lot. ","films"
"729","He became one of America's most well-known black film actors of the 1970s, after starring in a string of critically acclaimed and popular movies, many of them in the genre ","films"
"730","The film depicts Puyi's life from his ascent to the throne as a small boy to his imprisonment and political rehabilitation by the Communist Party of China ","films"
"731","'''''The Blast Furnace''''' is a 1950 North Korean film directed by Min Chongshik ","films"
"732","By chance, see a TV series, the plot to let me have a hit of the heart feeling ","films"
"733","The last scene of the film shows Danila walking out of a snow-covered forest ","films"
"734","The movie ''Yeh Ballet,'' a Netflix original movie released in February 2020, is based on Shah's early life story and the early life of his elder brother Nizamuddin Shah ","films"
"735","The film was premiered at Hidden Gems Film Festival in Canada followed by a number of oth ","films"
"736","Soviet leaders believed that film was an important tool of propagand ","films"
"737","I highly recommend that people get out of debt and stay out of debt, especially as the economy hits difficult times. ","financial"
"738","Like in many countries, the car manufacturing industry has been significantly affected by the global financial crisis ","financial"
"739","The subprime crisis is an example: some people were treated badly in this recent financial crisis. ","financial"
"740","They cited the Fed's decision to implement several rounds of quantitative easing (QE) in response to the financial crisis of 2008, and to maintain near-zero rates through 2016 ","financial"
"741","The current economic crisis that began in 2007, has led the Spanish government to implement various austerity measures which have directly hindered the development of Spanish family policies ","financial"
"742","In response to the financial crisis, Disney and his brother Roy started the company's first public stock offering in 1940, and implemented heavy salary cuts ","financial"
"743","And yet, all this progress is under threat. From economic crisis. Rising joblessness and inequality. Climate change. ","financial"
"744","And it would leave us with considerably reduced room for maneuver if another crisis comes along. ","financial"
"745","Over the past 30 years, he says, 'there has never been a recession where the recovery has been so anemic as this one. ' ","financial"
"746","Given the current financial crisis, triggered by a number of difficulties, leading to employment of university students is difficult. ","financial"
"747","""We must maintain efforts until the moment we finally overcome the crisis, "" he said. ","financial"
"748","Purchasing foreign currency This man is purchasing foreign currencies with a pile of money in his hands. ","financial"
"749","'As the world deals with the global economic crisis, the value of gold as the only true 'hard currency' is coming to the fore, ' he said. ","financial"
"750","The city was also affected by a severe financial crisis and a steady decline in textiles, automobile and steel production ","financial"
"751","Before the Great Depression of the 1930s any downturn in economic activity was referred to as a depression. ","financial"
"752","Since the beginning of the Industrial Revolution, every economic boom has been followed by an economic bust. ","financial"
"753","The president said the economic crisis has forced his administration to make investments that will expand the nation's deficit and debt. ","financial"
"754","After the Asian financial crisis of 1997-1998, most governments adopted floating exchange rate regimes. ","financial"
"755","this is a financial crisis that is global and needs a global response. piecemeal won't work. ","financial"
"756","It's exposing defects in many of our biggest financial institutions and every day we see more news about failures, huge losses, resignations, or firings of top finance people. ","financial"
"757","Most of these central banks' authorities consider that such tool effectively contributed to the resilience of their domestic financial systems in the wake of the late-2000s financial crisis ","financial"
"758","Following the 2008 financial crisis, a Greek government-debt crisis prompted the European Troika to implement austerity policies in the form of three distinct memoranda, despite public protest ","financial"
"759","Is the lingering shadow of the global financial crisis making it harder to accept extravagant indulgences? ","financial"
"760","The financial crisis has made it more acceptable to be between jobs or to leave a bad one ","financial"
"761","But the backlash of the economic crisis of 1929 arrived and manufacturers of luxury cars all over the world suffered from poor sales ","financial"
"762","She made six complete whale hunting voyages in the British Southern Whale Fishery before being lost in 1798 on her seventh voyage ","fishing"
"763","We were swimming in the river, given by the hot summer. We went boating and fishing, carrying home fish and shrimp. ","fishing"
"764","Next she sailed as a general trader, but also made one voyage seal hunting ","fishing"
"765","If you are trying to match a particular bait, the color of your fly should match the color of the bait for the depth you are fishing. ","fishing"
"766","Asked to choose, from all this fleet, the vessel to carry me on a month-long cruise in pursuit of blue whales, I would not have hesitated. ","fishing"
"767","She made four complete whale-hunting voyages but was wrecked in the Coral Sea in April 1820 during her fifth whaling voyage ","fishing"
"768","However pelagic fishing from boats from the Scottish east coast ports normally catch herring and an amount of blue whiting from the northern North Sea ","fishing"
"769","The main reason was that fishermen were still able to exploit their relatively new ability to find and catch their prey. ","fishing"
"770","During the voyage he witnessed the hunt and killing of three whales ","fishing"
"771","Most of the time, she can be found lobstering with her dad working in the stern. Each season has its own story to tell. ","fishing"
"772","They serve the fisherman on fishing near the shore and for fishing away from the shore they use another type of boat ","fishing"
"773","Commercial fishermen that typically have rights to fish in specific areas will be ill equipped for the massive migration of their prey. ","fishing"
"774","It's not just a matter of taking bluefin tuna and other valuable species out of the oceans through industrial fishing. ","fishing"
"775","In 1821 she sailed on a seal and whale hunting voyage to the South Shetland Islands and the coast of Chile ","fishing"
"776","Adjacent Crane Lake is known for walleye and small mouth bass fishing ","fishing"
"777","The people lived on fishing and the hunting of seals and sea birds ","fishing"
"778","This settles the boat's share of the total allowable catch of that fish for the entire country. ","fishing"
"779","They fished all day in fishing season and saw flying fish ","fishing"
"780","These conditions make it suitable for shore fishing and rock fishing ","fishing"
"781","because fishes for excessively, the sea fishery resources are reducing by the fearful speed. ","fishing"
"782","The lake is stocked with rainbow trout throughout the winter season, and fishing is open all year from shore or boat ","fishing"
"783","Fishery: Caught in coastal estuaries along northern Australian coastline. Very popular angling species. ","fishing"
"784","European Union quotas mean fishermen are only allowed to land a certain amount of each species. ","fishing"
"785","Locals fish for dorado, tuna, sierra, mahi mahi, wahoo, marlin, guachinango (snapper), juriel, sierra fish, grouper or cherna, shrimp, lobster and oyster, sailfish, and fish rooster ","fishing"
"786","This summer first Iceland and then the Faroe Islands unilaterally jacked up the amount of the fish they intend to let their fishermen catch. ","fishing"
"787","senescent fishery A fishery showing significant declines for a number of years, usually through overfishing . ","fishing"
"788","Fishing is possible both from boats and from the shore ","fishing"
"789","The fishermen splash their paddles to tell the dolphins they'd like to fish together ","fishing"
"790","In numerous areas off the California coast, the plan for sanctuaries will either limit the take, or make fishing completely off-limits. ","fishing"
"791","Scientists estimate that if fishing continues at current levels, stocks are bound to collapse. ","fishing"
"792","The fisherman msde a large number of fish with the larger fishnet in a day . He went home singing on the way and was very happy. ","fishing"
"793","Conservation groups and shark-fin opponents blame the dish for overfishing, which has depleted shark populations. ","fishing"
"794","While at the Wizards, he was included in the Danish squad for the 2000 European Championship in June 2000 ","football"
"795","The Bayridge senior boys soccer team was undefeated in 2006 and was the Senior Boys Eastern Ontario Champions ","football"
"796","""How much Arsenal are loved here in Asia and how much the Premier League has penetrated Asia [has been positive], "" he said. ","football"
"797","following this game, the san diego nomads played the fort lauderdale strikers of the asl in the 1989 national pro soccer championship in order to crown a ""national"" champion ","football"
"798","Elementary students may participate in boys & girls soccer, boys & girls basketball, baseball and softball ","football"
"799","Boys Sports : Baseball, Basketball, X-country, Football, Wrestling, Soccer, Swimming, Tennis, Track and Field ","football"
"800","He needs to get to know his team-mates and the league but I will look at him in training because he has a very good physical condition. ","football"
"801","In Africa there is often only one way for many young lads to escape from poverty and to make their way up the social scale - football ","football"
"802","Fall sports include: Football, Cross Country, Girls Golf, Boys Soccer, and Girls Volleyball ","football"
"803","18 million, but a knee injury restricted his involvement and he did not start in the Premier League until late December. ","football"
"804","He is brother of Maren Mjelde, who plays for Norway women's national football team ","football"
"805","In 1908 the Pollokshaws Working Lads Club decided to form a football team from amongst their ranks ","football"
"806","""It's hard to win the Premier League because our top four sides plus Barcelona probably make up the best five sides in Europe, "" he said. ","football"
"807","His younger brother Daniel is also a footballer who plays for HJK and the Finland national team ","football"
"808","The bigger picture for me was to rest and be ready because we have got a Champions League qualifier and a hard start. ","football"
"809","Yes, you could make the case that this season's Premier League was mediocre, with a general dip in the quality of football. ","football"
"810","Barry made his debut for the Guinea national football team in a 1?1 2019 Africa Cup of Nations qualification tie with Ivory Coast on 18 November 2018 ","football"
"811","He made his debut on 6 October, in a goalless 2018 FIFA World Cup qualification match with Ivory Coast ","football"
"812","We're far from happy with our form in the Premier League as well but the only way to turn things around is by sticking together. ","football"
"813","He is the older brother of fellow retired footballer Brian Laudrup ","football"
"814","He played college football at Maryland Eastern Shore ","football"
"815","The 2012 AFL season is the Gold Coast Suns' second season in the Australian Football League (AFL) ","football"
"816","No lad who ever stepped on a football field had keener eyes than Everett had ","football"
"817","It dominated the English game before the war and has never been relegated out of the top division. ","football"
"818","Indeed, only Manchester City have had more attempts at goal than Liverpool in the Barclays Premier League so far this season. ","football"
"819","Can you imagine how messy Fat Boy Slim's funeral is going to be ","funeral"
"820","He was buried at Banani graveyard in Bangladesh on 27 January 2015 after a grand funeral which was attended by hundreds and thousands of mourners in Dhaka ","funeral"
"821","Kennedy's funeral procession traveled a journey from the Kennedy Compound in Hyannis Port, past numerous landmarks named after his family, to the John F ","funeral"
"822","He died in Dubuque, Iowa, on April 10, 1955, while attending the funeral of a brother-in law ","funeral"
"823","On the voyage, Louisa learned additional details about that funeral ","funeral"
"824","The funeral rites, orchestrated by his widow, were conducted by Buddhist monks ","funeral"
"825","Many reports have been made of monks in white and phantom funeral processions seen walking along this path ","funeral"
